Date,Day Index,New cases,Cumulative cases
05/07/22,0,1,1
05/14/22,7,2,3
05/16/22,9,4,7
05/18/22,11,2,9
05/20/22,13,11,20
05/22/22,15,36,56
05/23/22,16,15,71
05/24/22,17,7,78
05/25/22,18,12,90
05/26/22,19,16,106
05/29/22,22,73,179
05/30/22,23,11,190
05/31/22,24,6,196
06/01/22,25,11,207
06/02/22,26,18,225
06/05/22,29,77,302
06/07/22,31,19,321
06/09/22,33,45,366
06/12/22,36,104,470
06/14/22,38,54,524
06/16/22,40,50,574
06/20/22,44,219,793
06/23/22,47,117,910
06/26/22,50,166,1076
06/30/22,54,159,1235
07/04/22,58,116,1351
07/07/22,61,201,1552
07/11/22,65,183,1735
07/14/22,68,121,1856
07/18/22,72,281,2137
07/21/22,75,71,2208
07/25/22,79,224,2432
07/28/22,82,114,2546
08/01/22,86,213,2759
08/04/22,89,100,2859
08/08/22,93,158,3017
08/15/22,100,178,3195
08/22/22,107,145,3340
08/29/22,114,73,3413
09/05/22,121,71,3484
09/12/22,128,68,3552
09/19/22,135,33,3585
09/26/22,142,50,3635
10/03/22,149,19,3654
10/10/22,156,19,3673
10/17/22,163,13,3686
10/24/22,170,12,3698
10/31/22,177,3,3701
11/07/22,184,2,3703
11/14/22,191,7,3710
11/21/22,198,10,3720
11/28/22,205,5,3725
12/05/22,212,5,3730
12/12/22,219,0,3730
12/19/22,226,0,3730
12/31/22,238,2,3732
02/27/23,296,6,3738
03/31/23,328,3,3741
04/30/23,358,1,3742
05/24/23,382,10,3752
05/31/23,389,1,3753
06/30/23,419,8,3761
07/31/23,450,10,3771
08/21/23,471,7,3778
08/31/23,481,4,3782
09/30/23,511,23,3805
10/31/23,542,15,3820
11/30/23,572,47,3867
12/31/23,603,8,3875
