country,iso3,who_region,month_start,month_lab,cases,deaths
Andorra,AND,EURO,01/07/2022,Jul-22,3,0
Andorra,AND,EURO,01/08/2022,Aug-22,1,0
Andorra,AND,EURO,01/09/2022,Sep-22,0,0
Andorra,AND,EURO,01/10/2022,Oct-22,0,0
Andorra,AND,EURO,01/11/2022,Nov-22,0,0
Andorra,AND,EURO,01/12/2022,Dec-22,0,0
Andorra,AND,EURO,01/01/2023,Jan-23,0,0
Andorra,AND,EURO,01/02/2023,Feb-23,0,0
Andorra,AND,EURO,01/03/2023,Mar-23,0,0
Andorra,AND,EURO,01/04/2023,Apr-23,0,0
Andorra,AND,EURO,01/05/2023,May-23,0,0
Andorra,AND,EURO,01/06/2023,Jun-23,0,0
Andorra,AND,EURO,01/07/2023,Jul-23,0,0
Andorra,AND,EURO,01/08/2023,Aug-23,0,0
Andorra,AND,EURO,01/09/2023,Sep-23,0,0
Andorra,AND,EURO,01/10/2023,Oct-23,0,0
Argentina,ARG,AMRO,01/06/2022,Jun-22,6,0
Argentina,ARG,AMRO,01/07/2022,Jul-22,14,0
Argentina,ARG,AMRO,01/08/2022,Aug-22,150,0
Argentina,ARG,AMRO,01/09/2022,Sep-22,226,0
Argentina,ARG,AMRO,01/10/2022,Oct-22,279,0
Argentina,ARG,AMRO,01/11/2022,Nov-22,269,1
Argentina,ARG,AMRO,01/12/2022,Dec-22,74,0
Argentina,ARG,AMRO,01/01/2023,Jan-23,46,1
Argentina,ARG,AMRO,01/02/2023,Feb-23,34,0
Argentina,ARG,AMRO,01/03/2023,Mar-23,26,0
Argentina,ARG,AMRO,01/04/2023,Apr-23,4,0
Argentina,ARG,AMRO,01/05/2023,May-23,1,0
Argentina,ARG,AMRO,01/06/2023,Jun-23,0,0
Argentina,ARG,AMRO,01/07/2023,Jul-23,0,0
Argentina,ARG,AMRO,01/08/2023,Aug-23,1,0
Argentina,ARG,AMRO,01/09/2023,Sep-23,0,0
Argentina,ARG,AMRO,01/10/2023,Oct-23,5,0
Aruba,ABW,AMRO,01/08/2022,Aug-22,2,0
Aruba,ABW,AMRO,01/09/2022,Sep-22,1,0
Aruba,ABW,AMRO,01/10/2022,Oct-22,0,0
Aruba,ABW,AMRO,01/11/2022,Nov-22,0,0
Aruba,ABW,AMRO,01/12/2022,Dec-22,0,0
Aruba,ABW,AMRO,01/01/2023,Jan-23,0,0
Aruba,ABW,AMRO,01/02/2023,Feb-23,0,0
Aruba,ABW,AMRO,01/03/2023,Mar-23,0,0
Aruba,ABW,AMRO,01/04/2023,Apr-23,0,0
Aruba,ABW,AMRO,01/05/2023,May-23,0,0
Aruba,ABW,AMRO,01/06/2023,Jun-23,0,0
Aruba,ABW,AMRO,01/07/2023,Jul-23,0,0
Aruba,ABW,AMRO,01/08/2023,Aug-23,0,0
Aruba,ABW,AMRO,01/09/2023,Sep-23,0,0
Aruba,ABW,AMRO,01/10/2023,Oct-23,0,0
Australia,AUS,WPRO,01/05/2022,May-22,2,0
Australia,AUS,WPRO,01/06/2022,Jun-22,10,0
Australia,AUS,WPRO,01/07/2022,Jul-22,33,0
Australia,AUS,WPRO,01/08/2022,Aug-22,61,0
Australia,AUS,WPRO,01/09/2022,Sep-22,30,0
Australia,AUS,WPRO,01/10/2022,Oct-22,4,0
Australia,AUS,WPRO,01/11/2022,Nov-22,3,0
Australia,AUS,WPRO,01/12/2022,Dec-22,1,0
Australia,AUS,WPRO,01/05/2023,May-23,1,0
Australia,AUS,WPRO,01/08/2023,Aug-23,10,0
Australia,AUS,WPRO,01/09/2023,Sep-23,1,0
Austria,AUT,EURO,01/05/2022,May-22,1,0
Austria,AUT,EURO,01/06/2022,Jun-22,19,0
Austria,AUT,EURO,01/07/2022,Jul-22,98,0
Austria,AUT,EURO,01/08/2022,Aug-22,147,0
Austria,AUT,EURO,01/09/2022,Sep-22,48,0
Austria,AUT,EURO,01/10/2022,Oct-22,10,0
Austria,AUT,EURO,01/11/2022,Nov-22,3,0
Austria,AUT,EURO,01/12/2022,Dec-22,1,0
Austria,AUT,EURO,01/01/2023,Jan-23,0,0
Austria,AUT,EURO,01/02/2023,Feb-23,0,0
Austria,AUT,EURO,01/03/2023,Mar-23,0,0
Austria,AUT,EURO,01/04/2023,Apr-23,1,0
Austria,AUT,EURO,01/05/2023,May-23,0,0
Austria,AUT,EURO,01/06/2023,Jun-23,0,0
Austria,AUT,EURO,01/07/2023,Jul-23,0,0
Austria,AUT,EURO,01/08/2023,Aug-23,0,0
Austria,AUT,EURO,01/09/2023,Sep-23,2,0
Austria,AUT,EURO,01/10/2023,Oct-23,1,0
Bahamas,BHS,AMRO,01/06/2022,Jun-22,1,0
Bahamas,BHS,AMRO,01/07/2022,Jul-22,0,0
Bahamas,BHS,AMRO,01/08/2022,Aug-22,1,0
Bahamas,BHS,AMRO,01/09/2022,Sep-22,0,0
Bahamas,BHS,AMRO,01/10/2022,Oct-22,0,0
Bahamas,BHS,AMRO,01/11/2022,Nov-22,0,0
Bahamas,BHS,AMRO,01/12/2022,Dec-22,0,0
Bahamas,BHS,AMRO,01/01/2023,Jan-23,0,0
Bahamas,BHS,AMRO,01/02/2023,Feb-23,0,0
Bahamas,BHS,AMRO,01/03/2023,Mar-23,0,0
Bahamas,BHS,AMRO,01/04/2023,Apr-23,0,0
Bahamas,BHS,AMRO,01/05/2023,May-23,0,0
Bahamas,BHS,AMRO,01/06/2023,Jun-23,1,0
Bahamas,BHS,AMRO,01/07/2023,Jul-23,0,0
Bahamas,BHS,AMRO,01/08/2023,Aug-23,0,0
Bahamas,BHS,AMRO,01/09/2023,Sep-23,0,0
Bahamas,BHS,AMRO,01/10/2023,Oct-23,0,0
Bahrain,BHR,EMRO,01/09/2022,Sep-22,1,0
Bahrain,BHR,EMRO,01/04/2023,Apr-23,1,0
Barbados,BRB,AMRO,01/07/2022,Jul-22,1,0
Barbados,BRB,AMRO,01/08/2022,Aug-22,0,0
Barbados,BRB,AMRO,01/09/2022,Sep-22,0,0
Barbados,BRB,AMRO,01/10/2022,Oct-22,0,0
Barbados,BRB,AMRO,01/11/2022,Nov-22,0,0
Barbados,BRB,AMRO,01/12/2022,Dec-22,0,0
Barbados,BRB,AMRO,01/01/2023,Jan-23,0,0
Barbados,BRB,AMRO,01/02/2023,Feb-23,0,0
Barbados,BRB,AMRO,01/03/2023,Mar-23,0,0
Barbados,BRB,AMRO,01/04/2023,Apr-23,0,0
Barbados,BRB,AMRO,01/05/2023,May-23,0,0
Barbados,BRB,AMRO,01/06/2023,Jun-23,0,0
Barbados,BRB,AMRO,01/07/2023,Jul-23,0,0
Barbados,BRB,AMRO,01/08/2023,Aug-23,0,0
Barbados,BRB,AMRO,01/09/2023,Sep-23,0,0
Barbados,BRB,AMRO,01/10/2023,Oct-23,0,0
Belgium,BEL,EURO,01/05/2022,May-22,10,0
Belgium,BEL,EURO,01/06/2022,Jun-22,107,0
Belgium,BEL,EURO,01/07/2022,Jul-22,276,0
Belgium,BEL,EURO,01/08/2022,Aug-22,313,1
Belgium,BEL,EURO,01/09/2022,Sep-22,64,0
Belgium,BEL,EURO,01/10/2022,Oct-22,15,0
Belgium,BEL,EURO,01/11/2022,Nov-22,4,0
Belgium,BEL,EURO,01/12/2022,Dec-22,1,0
Belgium,BEL,EURO,01/01/2023,Jan-23,3,0
Belgium,BEL,EURO,01/02/2023,Feb-23,0,1
Belgium,BEL,EURO,01/03/2023,Mar-23,0,0
Belgium,BEL,EURO,01/04/2023,Apr-23,0,0
Belgium,BEL,EURO,01/05/2023,May-23,0,0
Belgium,BEL,EURO,01/06/2023,Jun-23,2,0
Belgium,BEL,EURO,01/07/2023,Jul-23,0,0
Belgium,BEL,EURO,01/08/2023,Aug-23,0,0
Belgium,BEL,EURO,01/09/2023,Sep-23,0,0
Belgium,BEL,EURO,01/10/2023,Oct-23,0,0
Benin,BEN,AFRO,01/06/2022,Jun-22,3,0
Benin,BEN,AFRO,01/07/2022,Jul-22,0,0
Benin,BEN,AFRO,01/08/2022,Aug-22,0,0
Benin,BEN,AFRO,01/09/2022,Sep-22,0,0
Benin,BEN,AFRO,01/10/2022,Oct-22,0,0
Benin,BEN,AFRO,01/11/2022,Nov-22,0,0
Benin,BEN,AFRO,01/12/2022,Dec-22,0,0
Benin,BEN,AFRO,01/01/2023,Jan-23,0,0
Benin,BEN,AFRO,01/02/2023,Feb-23,0,0
Benin,BEN,AFRO,01/03/2023,Mar-23,0,0
Benin,BEN,AFRO,01/04/2023,Apr-23,0,0
Benin,BEN,AFRO,01/05/2023,May-23,0,0
Benin,BEN,AFRO,01/06/2023,Jun-23,0,0
Benin,BEN,AFRO,01/07/2023,Jul-23,0,0
Benin,BEN,AFRO,01/08/2023,Aug-23,0,0
Benin,BEN,AFRO,01/09/2023,Sep-23,0,0
Benin,BEN,AFRO,01/10/2023,Oct-23,0,0
Bermuda,BMU,AMRO,01/07/2022,Jul-22,1,0
Bermuda,BMU,AMRO,01/08/2022,Aug-22,0,0
Bermuda,BMU,AMRO,01/09/2022,Sep-22,0,0
Bermuda,BMU,AMRO,01/10/2022,Oct-22,0,0
Bermuda,BMU,AMRO,01/11/2022,Nov-22,0,0
Bermuda,BMU,AMRO,01/12/2022,Dec-22,0,0
Bermuda,BMU,AMRO,01/01/2023,Jan-23,0,0
